Mote Id,Time in ms,Reading
0,625,40354
5,641,60191
2,657,5954
4,672,54901
3,860,57385
0,3235,41937
5,3250,59260
2,3313,5046
4,3313,53666
3,3313,58436
1,3422,59422
0,5860,43498
2,5860,4208
5,5907,58263
3,5922,59422
4,5954,52378
0,8469,45032
2,8485,3440
1,8485,61191
3,8532,60341
4,8547,51042
0,11079,46536
2,11094,2747
5,11141,56081
3,11204,61191
4,11235,49659
2,11329,2747
0,13688,48004
1,13704,62677
5,13735,54901
3,13750,61971
4,13797,48235
2,13860,2128
1,13891,62677
